id,annual_usage,min_order_quantity,bracket_pricing,quantity,quote_year,num_parts,cost
1,0,0,Yes,1,0.351994946133529,2,3.13139596080929
2,0,0,Yes,2,0.351994946133529,2,2.59085803929227
3,0,0,Yes,5,0.351994946133529,2,2.02838850047725
4,0,0,Yes,10,0.351994946133529,2,1.73831816987456
5,0,0,Yes,25,0.351994946133529,2,1.51327082524685
6,0,0,Yes,50,0.351994946133529,2,1.44087876518863
7,0,0,Yes,100,0.351994946133529,2,1.40671479649537
8,0,0,Yes,250,0.351994946133529,2,1.38605924949296
9,0,0,Yes,1,0.351994946133529,2,3.13430666047846
10,0,0,Yes,2,0.351994946133529,2,2.59585030542389
11,0,0,Yes,5,0.351994946133529,2,2.03713349052242
12,0,0,Yes,10,0.351994946133529,2,1.74998892243131
13,0,0,Yes,25,0.351994946133529,2,1.52786566510003
14,0,0,Yes,50,0.351994946133529,2,1.45656078980745
15,0,0,Yes,100,0.351994946133529,2,1.42293744088122
16,0,0,Yes,250,0.351994946133529,2,1.40261767827238
17,0,0,Yes,1,0.351994946133529,3,3.38011743008481
18,0,0,Yes,2,0.351994946133529,3,2.863017836594
19,0,0,Yes,5,0.351994946133529,3,2.34159381217846
20,0,0,Yes,10,0.351994946133529,3,2.08287080245938
21,0,0,Yes,25,0.351994946133529,3,1.8875342292657
22,0,0,Yes,50,0.351994946133529,3,1.8235979138997
23,0,0,Yes,100,0.351994946133529,3,1.79304302904416
24,0,0,Yes,250,0.351994946133529,3,1.77434605550556
25,0,0,Yes,1,0.351994946133529,2,3.15337897061435
26,0,0,Yes,2,0.351994946133529,2,2.62830911587319
27,0,0,Yes,5,0.351994946133529,2,2.09355707342298
28,0,0,Yes,10,0.351994946133529,2,1.82449580329157
29,0,0,Yes,25,0.351994946133529,2,1.61952248928425
30,0,0,Yes,50,0.351994946133529,2,1.5552573622034
31,0,0,Yes,100,0.351994946133529,2,1.52484258949302
32,0,0,Yes,250,0.351994946133529,2,1.50650966543958
33,50,1,No,1,-7.53157893758692,1,2.39828468523556
34,0,0,Yes,1,0.351994946133529,4,3.13527501403607
35,0,0,Yes,2,0.351994946133529,4,2.5975088710705
36,0,0,Yes,5,0.351994946133529,4,2.04003157496213
37,0,0,Yes,10,0.351994946133529,4,1.75433057635643
38,0,0,Yes,25,0.351994946133529,4,1.53268365705842
39,0,0,Yes,50,0.351994946133529,4,1.46237872099976
40,0,0,Yes,100,0.351994946133529,4,1.42895371897327
41,0,0,Yes,250,0.351994946133529,4,1.40807678073529
42,1,1,No,1,0.727403226310693,4,1.48909028835897
43,1,1,No,1,-0.3988216142208,2,2.25792007550496
44,0,0,Yes,1,0.351994946133529,2,3.0880832796859
45,0,0,Yes,2,0.351994946133529,2,2.51529644712716
46,0,0,Yes,5,0.351994946133529,2,1.8921581339692
47,0,0,Yes,10,0.351994946133529,2,1.5517267962234
48,0,0,Yes,25,0.351994946133529,2,1.27351881870651
49,0,0,Yes,50,0.351994946133529,2,1.18057619448047
50,0,0,Yes,100,0.351994946133529,2,1.13602524180029
51,0,0,Yes,250,0.351994946133529,2,1.10886063188058
52,0,0,Yes,1,0.351994946133529,2,3.081083075714
53,0,0,Yes,2,0.351994946133529,2,2.50284987954416
54,0,0,Yes,5,0.351994946133529,2,1.86839241400252
55,0,0,Yes,10,0.351994946133529,2,1.51876888240418
56,0,0,Yes,25,0.351994946133529,2,1.22894127769562
57,0,0,Yes,50,0.351994946133529,2,1.13244564665998
58,0,0,Yes,100,0.351994946133529,2,1.08564579774992
59,0,0,Yes,250,0.351994946133529,2,1.05705733943759
60,30,1,No,1,-7.15617065740976,4,1.31842927646782
61,3,0,Yes,5,-0.3988216142208,1,2.87407562198023
62,3,0,Yes,10,-0.3988216142208,1,2.41159495676337
63,2,0,Yes,2,-3.77749613581528,4,3.25882923509281
64,2,0,Yes,4,-3.77749613581528,4,2.74639460981884
65,2,0,Yes,6,-3.77749613581528,4,2.49392930764697
66,2,0,Yes,8,-3.77749613581528,4,2.33891460235686
67,2,0,Yes,10,-3.77749613581528,4,2.23288155038799
68,2,0,Yes,12,-3.77749613581528,4,2.15538215435343
69,50,0,Yes,1,0.727403226310693,1,4.55414264542177
70,280,1,Yes,1,-7.15617065740976,1,1.76295774027143
71,50,0,Yes,6,0.727403226310693,1,3.1638979859408
72,50,0,Yes,10,0.727403226310693,1,2.88780557343217
73,50,0,Yes,20,0.727403226310693,1,2.53973425540881
74,50,0,Yes,50,0.727403226310693,1,2.29951622899831
75,600,1,No,1,-6.78076237723259,2,0.941380218028739
76,15,1,No,1,-0.774229894397964,1,5.43436946697214
77,10,1,No,1,-2.27586301510662,4,2.17863941664684
78,180,20,No,1,-1.14963817457513,4,1.37134223915632
79,0,0,Yes,1,0.351994946133529,5,3.41967159388356
80,0,0,Yes,2,0.351994946133529,5,2.92849463168547
81,0,0,Yes,5,0.351994946133529,5,2.44953441847911
82,0,0,Yes,10,0.351994946133529,5,2.22027424524091
83,0,0,Yes,25,0.351994946133529,5,2.05261286218856
84,0,0,Yes,50,0.351994946133529,5,1.99867355487265
85,0,0,Yes,100,0.351994946133529,5,1.97308934865384
86,0,0,Yes,250,0.351994946133529,5,1.95749720195491
87,5,0,Yes,2,-2.65127129528379,4,3.68355197276138
88,5,0,Yes,3,-2.65127129528379,4,3.36590498487776
89,5,0,Yes,4,-2.65127129528379,4,3.16095436448697
90,5,0,Yes,6,-2.65127129528379,4,2.86650633428525
91,0,0,Yes,1,0.351994946133529,3,3.38935628900309
92,0,0,Yes,2,0.351994946133529,3,2.87846472488194
93,0,0,Yes,5,0.351994946133529,3,2.36747704704585
94,0,0,Yes,10,0.351994946133529,3,2.11627032999526
95,0,0,Yes,25,0.351994946133529,3,1.92799472617324
96,0,0,Yes,50,0.351994946133529,3,1.86710317032625
97,0,0,Yes,100,0.351994946133529,3,1.8374254074837
98,0,0,Yes,250,0.351994946133529,3,1.81954740488419
99,2,0,Yes,2,0.727403226310693,2,2.55843270423967
100,2,0,Yes,4,0.727403226310693,2,2.26660962163263
101,2,0,Yes,6,0.727403226310693,2,2.10751737976587
102,2,0,Yes,8,0.727403226310693,2,2.00842809732461
103,0,0,Yes,1,0.351994946133529,2,3.10555932713125
104,0,0,Yes,2,0.351994946133529,2,2.54607869642286
105,0,0,Yes,5,0.351994946133529,2,1.94881674944499
106,0,0,Yes,10,0.351994946133529,2,1.63047882547192
107,0,0,Yes,25,0.351994946133529,2,1.37556924668869
108,0,0,Yes,50,0.351994946133529,2,1.29279546872852
109,0,0,Yes,100,0.351994946133529,2,1.25306894817514
110,0,0,Yes,250,0.351994946133529,2,1.22894127769562
111,200,60,No,60,0.727403226310693,4,1.21665556753901
112,200,40,No,40,0.727403226310693,4,0.935939188484751
113,300,60,No,60,0.727403226310693,0,1.15811199884832
114,8821,1,No,1,-4.90372097634677,2,0.816715587360087
115,701,1,Yes,1,-3.77749613581528,1,1.75577361553138
116,115,1,No,1,-4.52831269616961,1,2.46360590271229
117,0,0,Yes,1,0.351994946133529,2,3.15729219881618
118,0,0,Yes,2,0.351994946133529,2,2.6349158179343
119,0,0,Yes,5,0.351994946133529,2,2.10446957362013
120,0,0,Yes,10,0.351994946133529,2,1.83919575342014
121,0,0,Yes,25,0.351994946133529,2,1.63753660781911
122,0,0,Yes,50,0.351994946133529,2,1.57387937577827
123,0,0,Yes,100,0.351994946133529,2,1.544628048087
124,0,0,Yes,250,0.351994946133529,2,1.52605291663481
125,5,0,Yes,3,-0.0234133340436355,2,3.59193700248688
126,5,0,Yes,6,-0.0234133340436355,2,3.18460977622164
127,5,0,Yes,9,-0.0234133340436355,2,2.98531868656854
128,5,0,Yes,12,-0.0234133340436355,2,2.84765125494652
129,0,0,Yes,1,0.351994946133529,2,3.11819194074354
130,0,0,Yes,2,0.351994946133529,2,2.56807919295674
131,0,0,Yes,5,0.351994946133529,2,1.98806114787743
132,0,0,Yes,10,0.351994946133529,2,1.68404565595025
133,0,0,Yes,25,0.351994946133529,2,1.44482238709573
134,0,0,Yes,50,0.351994946133529,2,1.36709728815727
135,0,0,Yes,100,0.351994946133529,2,1.3302685855426
136,0,0,Yes,250,0.351994946133529,2,1.3079536358294
137,0,0,Yes,1,0.351994946133529,2,3.11523388599095
138,0,0,Yes,2,0.351994946133529,2,2.56294598155837
139,0,0,Yes,5,0.351994946133529,2,1.9788742905045
140,0,0,Yes,10,0.351994946133529,2,1.67157437275238
141,0,0,Yes,25,0.351994946133529,2,1.42895371897327
142,0,0,Yes,50,0.351994946133529,2,1.34993496005299
143,0,0,Yes,100,0.351994946133529,2,1.31320517346674
144,0,0,Yes,250,0.351994946133529,2,1.28973606656585
145,0,0,Yes,1,0.351994946133529,2,3.11313329045366
146,0,0,Yes,2,0.351994946133529,2,2.55929394802358
147,0,0,Yes,5,0.351994946133529,2,1.97231548837592
148,0,0,Yes,10,0.351994946133529,2,1.66264548876956
149,0,0,Yes,25,0.351994946133529,2,1.41755908140835
150,0,0,Yes,50,0.351994946133529,2,1.33759760022109
151,0,0,Yes,100,0.351994946133529,2,1.29964509206767
152,0,0,Yes,250,0.351994946133529,2,1.2766281627619
153,0,0,Yes,1,0.351994946133529,2,3.11313329045366
154,0,0,Yes,2,0.351994946133529,2,2.55929394802358
155,0,0,Yes,5,0.351994946133529,2,1.97231548837592
156,0,0,Yes,10,0.351994946133529,2,1.66264548876956
157,0,0,Yes,25,0.351994946133529,2,1.41755908140835
